year,event,round,dataset,Driver,Team,valid_laps_n,clean_air_laps_n,lap_time_median_s,clean_air_lap_time_median_s,clean_air_lap_time_p25_s,clean_air_best5_median_s,clean_gap_s
2024,Bahrain Grand Prix,1,fastf1,ALB,Williams,47.0,24.0,97.869,96.46350000000001,95.97,95.766,2.0
2024,Bahrain Grand Prix,1,fastf1,ALO,Aston Martin,48.0,36.0,97.1905,97.064,95.20325,94.677,2.0
2024,Bahrain Grand Prix,1,fastf1,BOT,Kick Sauber,46.0,31.0,97.7475,97.095,96.6465,96.374,2.0
2024,Bahrain Grand Prix,1,fastf1,GAS,Alpine,43.0,19.0,97.702,95.908,95.4,95.334,2.0
2024,Bahrain Grand Prix,1,fastf1,HAM,Mercedes,47.0,39.0,96.51,96.165,95.382,94.94,2.0
2024,Bahrain Grand Prix,1,fastf1,HUL,Haas F1 Team,44.0,41.0,96.75450000000001,96.725,95.921,95.146,2.0
2024,Bahrain Grand Prix,1,fastf1,LEC,Ferrari,48.0,16.0,96.75800000000001,95.406,95.29275000000001,95.058,2.0
2024,Bahrain Grand Prix,1,fastf1,MAG,Haas F1 Team,46.0,25.0,97.6695,96.842,96.31,96.042,2.0
2024,Bahrain Grand Prix,1,fastf1,NOR,McLaren,48.0,42.0,96.53649999999999,96.5655,95.52799999999999,95.069,2.0
2024,Bahrain Grand Prix,1,fastf1,OCO,Alpine,48.0,35.0,97.8725,97.415,96.69149999999999,96.552,2.0
2024,Bahrain Grand Prix,1,fastf1,PER,Red Bull Racing,47.0,41.0,96.211,96.037,94.94,94.525,2.0
2024,Bahrain Grand Prix,1,fastf1,PIA,McLaren,48.0,35.0,96.6105,96.024,95.35849999999999,95.109,2.0
2024,Bahrain Grand Prix,1,fastf1,RIC,RB,47.0,15.0,97.75,95.578,95.4985,95.475,2.0
2024,Bahrain Grand Prix,1,fastf1,RUS,Mercedes,47.0,42.0,96.44,96.292,95.55375,95.136,2.0
2024,Bahrain Grand Prix,1,fastf1,SAI,Ferrari,48.0,37.0,96.096,95.44,95.041,94.739,2.0
2024,Bahrain Grand Prix,1,fastf1,SAR,Williams,41.0,34.0,97.433,96.7585,96.01225,95.333,2.0
2024,Bahrain Grand Prix,1,fastf1,STR,Aston Martin,49.0,27.0,96.871,96.564,96.346,96.298,2.0
2024,Bahrain Grand Prix,1,fastf1,TSU,RB,46.0,12.0,97.4795,97.4725,96.242,96.179,2.0
2024,Bahrain Grand Prix,1,fastf1,VER,Red Bull Racing,45.0,45.0,95.342,95.342,94.906,94.239,2.0
2024,Bahrain Grand Prix,1,fastf1,ZHO,Kick Sauber,47.0,34.0,97.394,97.0185,96.70124999999999,96.561,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,ALB,Williams,42.0,9.0,95.217,92.711,92.56,92.56,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,ALO,Aston Martin,43.0,37.0,93.67,93.493,92.662,92.41,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,BEA,Ferrari,43.0,31.0,93.639,93.086,92.664,92.322,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,BOT,Kick Sauber,38.0,20.0,95.4355,93.1845,92.94775,92.903,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,HAM,Mercedes,41.0,18.0,93.693,93.7175,93.5215,93.384,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,HUL,Haas F1 Team,41.0,30.0,94.605,94.09049999999999,92.797,92.43,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,LEC,Ferrari,44.0,27.0,93.1765,92.722,92.554,92.029,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,MAG,Haas F1 Team,43.0,28.0,95.229,93.8415,92.923,92.644,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,NOR,McLaren,41.0,37.0,93.65,93.573,92.502,92.151,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,OCO,Alpine,42.0,10.0,95.2995,93.7365,93.66,93.643,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,PER,Red Bull Racing,43.0,35.0,92.825,92.734,92.4935,92.363,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,PIA,McLaren,44.0,18.0,93.6105,92.63,92.548,92.521,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,RIC,RB,41.0,12.0,95.606,94.95400000000001,94.368,93.75,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,RUS,Mercedes,43.0,1.0,93.643,95.145,95.145,,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,SAR,Williams,42.0,4.0,95.30600000000001,94.10900000000001,93.98725,,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,STR,Aston Martin,3.0,3.0,95.735,95.735,95.64750000000001,,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,TSU,RB,42.0,7.0,95.346,93.644,93.612,93.623,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,VER,Red Bull Racing,44.0,42.0,92.78450000000001,92.768,92.53825,92.163,2.0
2024,Saudi Arabian Grand Prix,2,fastf1,ZHO,Kick Sauber,37.0,30.0,95.002,94.882,94.1695,92.857,2.0
2024,Australian Grand Prix,3,fastf1,ALB,Williams,46.0,35.0,82.97049999999999,82.978,82.35900000000001,81.918,2.0
2024,Australian Grand Prix,3,fastf1,ALO,Aston Martin,47.0,32.0,82.649,82.52199999999999,81.16775000000001,80.752,2.0
2024,Australian Grand Prix,3,fastf1,BOT,Kick Sauber,42.0,35.0,82.84299999999999,82.609,81.91399999999999,81.533,2.0
2024,Australian Grand Prix,3,fastf1,GAS,Alpine,41.0,14.0,83.016,81.332,81.2205,81.211,2.0
2024,Australian Grand Prix,3,fastf1,HAM,Mercedes,10.0,1.0,83.2055,84.295,84.295,,2.0
2024,Australian Grand Prix,3,fastf1,HUL,Haas F1 Team,47.0,27.0,82.823,82.892,82.023,81.728,2.0
2024,Australian Grand Prix,3,fastf1,LEC,Ferrari,46.0,34.0,81.8315,80.929,80.42175,79.999,2.0
2024,Australian Grand Prix,3,fastf1,MAG,Haas F1 Team,45.0,22.0,83.11,82.967,81.6325,81.42,2.0
2024,Australian Grand Prix,3,fastf1,NOR,McLaren,45.0,36.0,81.692,81.608,80.28725,79.971,2.0
2024,Australian Grand Prix,3,fastf1,OCO,Alpine,42.0,8.0,82.8965,82.9845,82.70150000000001,82.834,2.0
2024,Australian Grand Prix,3,fastf1,PER,Red Bull Racing,46.0,37.0,81.84450000000001,81.616,81.038,80.706,2.0
2024,Australian Grand Prix,3,fastf1,PIA,McLaren,43.0,35.0,81.961,81.871,80.542,80.295,2.0
2024,Australian Grand Prix,3,fastf1,RIC,RB,45.0,36.0,82.904,82.8905,81.73875000000001,81.313,2.0
2024,Australian Grand Prix,3,fastf1,RUS,Mercedes,46.0,29.0,82.564,82.591,82.4,82.167,2.0
2024,Australian Grand Prix,3,fastf1,SAI,Ferrari,48.0,48.0,81.48,81.48,80.85325,80.203,2.0
2024,Australian Grand Prix,3,fastf1,STR,Aston Martin,45.0,34.0,82.922,82.436,81.24275,81.014,2.0
2024,Australian Grand Prix,3,fastf1,TSU,RB,45.0,27.0,82.968,81.812,81.6075,81.254,2.0
2024,Australian Grand Prix,3,fastf1,VER,Red Bull Racing,1.0,0.0,83.115,,,,2.0
2024,Australian Grand Prix,3,fastf1,ZHO,Kick Sauber,42.0,34.0,83.065,83.0685,82.24549999999999,81.776,2.0
2024,Japanese Grand Prix,4,fastf1,ALO,Aston Martin,42.0,36.0,97.16,97.00999999999999,95.82225,95.381,2.0
2024,Japanese Grand Prix,4,fastf1,BOT,Kick Sauber,41.0,4.0,98.058,97.6755,97.43975,,2.0
2024,Japanese Grand Prix,4,fastf1,GAS,Alpine,41.0,34.0,98.873,98.62450000000001,97.3385,96.759,2.0
2024,Japanese Grand Prix,4,fastf1,HAM,Mercedes,41.0,21.0,96.707,96.191,95.047,94.791,2.0
2024,Japanese Grand Prix,4,fastf1,HUL,Haas F1 Team,40.0,19.0,98.54650000000001,98.781,97.235,95.858,2.0
2024,Japanese Grand Prix,4,fastf1,LEC,Ferrari,45.0,35.0,96.681,96.32,95.703,95.274,2.0
2024,Japanese Grand Prix,4,fastf1,MAG,Haas F1 Team,44.0,29.0,98.539,98.078,97.662,97.475,2.0
2024,Japanese Grand Prix,4,fastf1,NOR,McLaren,41.0,23.0,96.375,96.487,95.876,95.635,2.0
2024,Japanese Grand Prix,4,fastf1,OCO,Alpine,41.0,30.0,98.702,98.07050000000001,97.00175,96.691,2.0
2024,Japanese Grand Prix,4,fastf1,PER,Red Bull Racing,42.0,36.0,96.612,96.5845,94.99449999999999,94.728,2.0
2024,Japanese Grand Prix,4,fastf1,PIA,McLaren,42.0,14.0,96.90299999999999,97.383,97.08725000000001,96.822,2.0
2024,Japanese Grand Prix,4,fastf1,RUS,Mercedes,40.0,19.0,96.72399999999999,96.493,95.724,94.913,2.0
2024,Japanese Grand Prix,4,fastf1,SAI,Ferrari,42.0,30.0,96.923,96.87299999999999,94.98725,94.419,2.0
2024,Japanese Grand Prix,4,fastf1,SAR,Williams,39.0,20.0,98.43,96.1995,95.6805,95.35,2.0
2024,Japanese Grand Prix,4,fastf1,STR,Aston Martin,35.0,15.0,97.361,96.556,96.31700000000001,96.27,2.0
2024,Japanese Grand Prix,4,fastf1,TSU,RB,40.0,25.0,97.606,97.319,97.073,96.557,2.0
2024,Japanese Grand Prix,4,fastf1,VER,Red Bull Racing,42.0,40.0,96.393,96.4105,94.94875,94.303,2.0
2024,Japanese Grand Prix,4,fastf1,ZHO,Kick Sauber,4.0,1.0,99.794,97.5,97.5,,2.0
2024,Chinese Grand Prix,5,fastf1,ALB,Williams,37.0,4.0,101.67,102.501,101.87950000000001,,2.0
2024,Chinese Grand Prix,5,fastf1,ALO,Aston Martin,35.0,26.0,100.638,100.7435,100.07175,99.403,2.0
2024,Chinese Grand Prix,5,fastf1,BOT,Kick Sauber,14.0,2.0,102.577,103.02799999999999,102.817,,2.0
2024,Chinese Grand Prix,5,fastf1,GAS,Alpine,35.0,21.0,101.373,100.819,100.138,100.024,2.0
2024,Chinese Grand Prix,5,fastf1,HAM,Mercedes,38.0,4.0,101.4965,102.22900000000001,101.87525000000001,,2.0
2024,Chinese Grand Prix,5,fastf1,HUL,Haas F1 Team,38.0,17.0,101.63550000000001,101.549,101.346,101.241,2.0
2024,Chinese Grand Prix,5,fastf1,LEC,Ferrari,41.0,25.0,100.453,100.423,100.171,99.775,2.0
2024,Chinese Grand Prix,5,fastf1,MAG,Haas F1 Team,36.0,22.0,102.5445,101.741,101.3615,101.298,2.0
2024,Chinese Grand Prix,5,fastf1,NOR,McLaren,42.0,36.0,100.2505,100.1925,99.6985,99.166,2.0
2024,Chinese Grand Prix,5,fastf1,OCO,Alpine,38.0,21.0,101.6215,101.592,101.522,101.313,2.0
2024,Chinese Grand Prix,5,fastf1,PER,Red Bull Racing,35.0,27.0,100.052,100.123,99.876,99.599,2.0
2024,Chinese Grand Prix,5,fastf1,PIA,McLaren,38.0,25.0,101.49799999999999,101.45,101.294,100.946,2.0
2024,Chinese Grand Prix,5,fastf1,RIC,RB,15.0,3.0,103.309,103.115,103.0655,,2.0
2024,Chinese Grand Prix,5,fastf1,RUS,Mercedes,38.0,16.0,100.77600000000001,100.6445,100.3905,100.38,2.0
2024,Chinese Grand Prix,5,fastf1,SAI,Ferrari,39.0,29.0,100.603,100.497,100.311,100.22,2.0
