year,event,round,dataset,Driver,Team,valid_laps_n,clean_air_laps_n,lap_time_median_s,clean_air_lap_time_median_s,clean_air_lap_time_p25_s,clean_air_best5_median_s,clean_gap_s,error
2025,Australian Grand Prix,1,fastf1,ALB,Williams,30.0,19.0,91.8925,92.036,91.16149999999999,90.452,2.0,
2025,Australian Grand Prix,1,fastf1,ALO,Aston Martin,24.0,7.0,92.5155,91.343,90.7735,90.895,2.0,
2025,Australian Grand Prix,1,fastf1,ANT,Mercedes,31.0,11.0,91.319,91.887,91.07050000000001,90.822,2.0,
2025,Australian Grand Prix,1,fastf1,BEA,Haas F1 Team,28.0,17.0,93.3685,93.732,91.284,90.553,2.0,
2025,Australian Grand Prix,1,fastf1,BOR,Kick Sauber,25.0,24.0,93.328,93.14699999999999,91.38675,90.446,2.0,
2025,Australian Grand Prix,1,fastf1,GAS,Alpine,30.0,21.0,92.32499999999999,92.035,90.635,90.051,2.0,
2025,Australian Grand Prix,1,fastf1,HAM,Ferrari,31.0,2.0,92.079,94.566,93.492,,2.0,
2025,Australian Grand Prix,1,fastf1,HUL,Kick Sauber,30.0,17.0,92.61699999999999,92.469,90.801,90.378,2.0,
2025,Australian Grand Prix,1,fastf1,LAW,Red Bull Racing,26.0,15.0,93.4995,92.08,91.2205,91.094,2.0,
2025,Australian Grand Prix,1,fastf1,LEC,Ferrari,31.0,24.0,91.159,91.355,90.31775,89.492,2.0,
2025,Australian Grand Prix,1,fastf1,NOR,McLaren,32.0,32.0,89.937,89.937,88.91199999999999,87.495,2.0,
2025,Australian Grand Prix,1,fastf1,OCO,Haas F1 Team,29.0,27.0,93.526,93.391,92.281,91.501,2.0,
2025,Australian Grand Prix,1,fastf1,PIA,McLaren,31.0,10.0,90.051,90.09700000000001,89.46600000000001,89.379,2.0,
2025,Australian Grand Prix,1,fastf1,RUS,Mercedes,31.0,28.0,91.029,90.824,89.76575,89.117,2.0,
2025,Australian Grand Prix,1,fastf1,STR,Aston Martin,30.0,25.0,92.242,92.092,90.935,90.657,2.0,
2025,Australian Grand Prix,1,fastf1,TSU,Racing Bulls,30.0,27.0,91.95150000000001,91.891,91.29249999999999,90.184,2.0,
2025,Australian Grand Prix,1,fastf1,VER,Red Bull Racing,30.0,15.0,90.6625,90.686,89.227,88.237,2.0,
2025,Chinese Grand Prix,2,fastf1,ALB,Williams,48.0,39.0,97.61850000000001,97.37,96.6225,96.294,2.0,
2025,Chinese Grand Prix,2,fastf1,ANT,Mercedes,49.0,36.0,97.759,97.638,96.87425,96.37,2.0,
2025,Chinese Grand Prix,2,fastf1,BEA,Haas F1 Team,48.0,23.0,97.4065,96.726,96.5645,96.434,2.0,
2025,Chinese Grand Prix,2,fastf1,BOR,Kick Sauber,48.0,45.0,98.01650000000001,98.59,97.134,96.629,2.0,
2025,Chinese Grand Prix,2,fastf1,DOO,Alpine,48.0,21.0,98.2475,97.522,97.163,96.704,2.0,
2025,Chinese Grand Prix,2,fastf1,GAS,Alpine,48.0,33.0,97.96600000000001,97.366,96.881,96.551,2.0,
2025,Chinese Grand Prix,2,fastf1,HAD,Racing Bulls,42.0,6.0,97.7255,96.781,96.7135,96.73,2.0,
2025,Chinese Grand Prix,2,fastf1,HAM,Ferrari,45.0,35.0,97.23,96.957,95.46350000000001,95.211,2.0,
2025,Chinese Grand Prix,2,fastf1,HUL,Kick Sauber,46.0,40.0,98.3595,98.2005,97.8045,97.483,2.0,
2025,Chinese Grand Prix,2,fastf1,LAW,Red Bull Racing,45.0,29.0,97.36,96.804,96.627,96.474,2.0,
2025,Chinese Grand Prix,2,fastf1,LEC,Ferrari,48.0,27.0,97.1635,96.877,96.4985,96.311,2.0,
